t,sin,cos
0,0,1
0.02,0.0199987,0.9998
0.04,0.0399893,0.9992
0.06,0.059964,0.998201
0.08,0.0799147,0.996802
0.1,0.0998334,0.995004
0.12,0.119712,0.992809
0.14,0.139543,0.990216
0.16,0.159318,0.987227
0.18,0.17903,0.983844
0.2,0.198669,0.980067
0.22,0.21823,0.975897
0.24,0.237703,0.971338
0.26,0.257081,0.96639
0.28,0.276356,0.961055
0.3,0.29552,0.955336
0.32,0.314567,0.949235
0.34,0.333487,0.942755
0.36,0.352274,0.935897
0.38,0.37092,0.928665
0.4,0.389418,0.921061
0.42,0.40776,0.913089
0.44,0.425939,0.904752
0.46,0.443948,0.896052
0.48,0.461779,0.886995
0.5,0.479426,0.877583
0.52,0.49688,0.867819
0.54,0.514136,0.857709
0.56,0.531186,0.847255
0.58,0.548024,0.836463
0.6,0.564642,0.825336
0.62,0.581035,0.813878
0.64,0.597195,0.802096
0.66,0.613117,0.789992
0.68,0.628793,0.777573
0.7,0.644218,0.764842
0.72,0.659385,0.751806
0.74,0.674288,0.738469
0.76,0.688921,0.724836
0.78,0.703279,0.710914
0.8,0.717356,0.696707
0.82,0.731146,0.682221
0.84,0.744643,0.667463
0.86,0.757843,0.652437
0.88,0.770739,0.637151
0.9,0.783327,0.62161
0.92,0.795602,0.60582
0.94,0.807558,0.589788
0.96,0.819192,0.57352
0.98,0.830497,0.557023
1,0.841471,0.540302
1.02,0.852108,0.523366
1.04,0.862404,0.50622
1.06,0.872355,0.488872
1.08,0.881958,0.471328
1.1,0.891207,0.453596
1.12,0.9001,0.435682
1.14,0.908633,0.417595
1.16,0.916803,0.39934
1.18,0.924606,0.380925
1.2,0.932039,0.362358
1.22,0.939099,0.343646
1.24,0.945784,0.324796
1.26,0.95209,0.305817
1.28,0.958016,0.286715
1.3,0.963558,0.267499
1.32,0.968715,0.248175
1.34,0.973485,0.228753
1.36,0.977865,0.209239
1.38,0.981854,0.189641
1.4,0.98545,0.169967
1.42,0.988652,0.150225
1.44,0.991458,0.130424
1.46,0.993868,0.11057
1.48,0.995881,0.0906716
1.5,0.997495,0.0707372
1.52,0.99871,0.0507745
1.54,0.999526,0.0307915
1.56,0.999942,0.0107961
1.58,0.999958,-0.00920354
1.6,0.999574,-0.0291995
1.62,0.99879,-0.0491838
1.64,0.997606,-0.0691484
1.66,0.996024,-0.0890854
1.68,0.994043,-0.108987
1.7,0.991665,-0.128844
1.72,0.98889,-0.148651
1.74,0.985719,-0.168397
1.76,0.982154,-0.188077
1.78,0.978197,-0.207681
1.8,0.973848,-0.227202
1.82,0.969109,-0.246632
1.84,0.963983,-0.265964
1.86,0.958471,-0.285189
1.88,0.952576,-0.3043
1.9,0.9463,-0.32329
1.92,0.939645,-0.34215
1.94,0.932615,-0.360873
1.96,0.925212,-0.379452
1.98,0.917438,-0.397879
2,0.909297,-0.416147
2.02,0.900793,-0.434248
2.04,0.891929,-0.452176
2.06,0.882707,-0.469923
2.08,0.873133,-0.487482
2.1,0.863209,-0.504846
2.12,0.85294,-0.522008
2.14,0.84233,-0.538961
2.16,0.831383,-0.555699
2.18,0.820104,-0.572215
2.2,0.808496,-0.588501
2.22,0.796565,-0.604552
2.24,0.784316,-0.620362
2.26,0.771753,-0.635923
2.28,0.758881,-0.65123
2.3,0.745705,-0.666276
2.32,0.732231,-0.681056
2.34,0.718465,-0.695563
2.36,0.704411,-0.709793
2.38,0.690075,-0.723738
2.4,0.675463,-0.737394
2.42,0.660581,-0.750755
2.44,0.645435,-0.763815
2.46,0.630031,-0.77657
2.48,0.614374,-0.789015
2.5,0.598472,-0.801144
2.52,0.582331,-0.812952
2.54,0.565956,-0.824435
2.56,0.549355,-0.835589
2.58,0.532535,-0.846408
2.6,0.515501,-0.856889
2.62,0.498262,-0.867027
2.64,0.480823,-0.876818
2.66,0.463191,-0.886258
2.68,0.445375,-0.895344
2.7,0.42738,-0.904072
2.72,0.409214,-0.912438
2.74,0.390885,-0.92044
2.76,0.372399,-0.928073
2.78,0.353764,-0.935335
2.8,0.334988,-0.942222
2.82,0.316078,-0.948733
2.84,0.297041,-0.954865
2.86,0.277886,-0.960614
2.88,0.258619,-0.965979
2.9,0.239249,-0.970958
2.92,0.219784,-0.975549
2.94,0.20023,-0.979749
2.96,0.180596,-0.983557
2.98,0.16089,-0.986972
3,0.14112,-0.989992
3.02,0.121293,-0.992617
3.04,0.101418,-0.994844
3.06,0.0815022,-0.996673
3.08,0.0615537,-0.998104
3.1,0.0415807,-0.999135
3.12,0.021591,-0.999767
3.14,0.00159265,-0.999999
3.16,-0.0184063,-0.999831
3.18,-0.0383979,-0.999263
3.2,-0.0583741,-0.998295
3.22,-0.078327,-0.996928
3.24,-0.0982486,-0.995162
3.26,-0.118131,-0.992998
3.28,-0.137966,-0.990437
3.3,-0.157746,-0.98748
3.32,-0.177462,-0.984128
3.34,-0.197108,-0.980382
3.36,-0.216675,-0.976244
3.38,-0.236155,-0.971715
3.4,-0.255541,-0.966798
3.42,-0.274825,-0.961494
3.44,-0.293998,-0.955806
3.46,-0.313054,-0.949735
3.48,-0.331985,-0.943285
3.5,-0.350783,-0.936457
3.52,-0.369441,-0.929254
3.54,-0.387951,-0.92168
3.56,-0.406306,-0.913737
3.58,-0.424498,-0.905429
3.6,-0.44252,-0.896758
3.62,-0.460366,-0.887729
3.64,-0.478027,-0.878345
3.66,-0.495497,-0.868609
3.68,-0.512769,-0.858526
3.7,-0.529836,-0.8481
3.72,-0.546691,-0.837334
3.74,-0.563327,-0.826234
3.76,-0.579738,-0.814803
3.78,-0.595917,-0.803046
3.8,-0.611858,-0.790968
3.82,-0.627554,-0.778573
3.84,-0.642999,-0.765867
3.86,-0.658186,-0.752855
3.88,-0.673111,-0.739542
3.9,-0.687766,-0.725932
3.92,-0.702146,-0.712033
3.94,-0.716246,-0.697848
3.96,-0.730058,-0.683385
3.98,-0.743579,-0.668648
4,-0.756802,-0.653644
4.02,-0.769723,-0.638378
4.04,-0.782336,-0.622857
4.06,-0.794636,-0.607087
4.08,-0.806618,-0.591073
4.1,-0.818277,-0.574824
4.12,-0.829609,-0.558345
4.14,-0.840609,-0.541642
4.16,-0.851273,-0.524722
4.18,-0.861597,-0.507593
4.2,-0.871576,-0.490261
4.22,-0.881206,-0.472732
4.24,-0.890484,-0.455015
4.26,-0.899405,-0.437115
4.28,-0.907967,-0.419041
4.3,-0.916166,-0.400799
4.32,-0.923998,-0.382397
4.34,-0.931461,-0.363842
4.36,-0.938551,-0.345141
4.38,-0.945266,-0.326302
4.4,-0.951602,-0.307333
4.42,-0.957558,-0.288241
4.44,-0.963131,-0.269033
4.46,-0.968319,-0.249718
4.48,-0.973119,-0.230303
4.5,-0.97753,-0.210796
4.52,-0.98155,-0.191204
4.54,-0.985178,-0.171536
4.56,-0.988411,-0.1518
4.58,-0.991249,-0.132003
4.6,-0.993691,-0.112153
4.62,-0.995735,-0.0922576
4.64,-0.997381,-0.0723258
4.66,-0.998628,-0.052365
4.68,-0.999476,-0.0323833
4.7,-0.999923,-0.0123887
4.72,-0.999971,0.00761095
4.74,-0.999619,0.0276075
4.76,-0.998867,0.047593
4.78,-0.997715,0.0675595
4.8,-0.996165,0.087499
4.82,-0.994216,0.107403
4.84,-0.991869,0.127265
4.86,-0.989125,0.147076
4.88,-0.985986,0.166827
4.9,-0.982453,0.186512
4.92,-0.978526,0.206123
4.94,-0.974208,0.225651
4.96,-0.969501,0.245089
4.98,-0.964405,0.264428
5,-0.958924,0.283662
5.02,-0.95306,0.302783
5.04,-0.946814,0.321782
5.06,-0.940189,0.340653
5.08,-0.933189,0.359387
5.1,-0.925815,0.377978
5.12,-0.91807,0.396417
5.14,-0.909959,0.414698
5.16,-0.901484,0.432813
5.18,-0.892648,0.450755
5.2,-0.883455,0.468517
5.22,-0.873908,0.486091
5.24,-0.864012,0.503471
5.26,-0.853771,0.520649
5.28,-0.843188,0.537619
5.3,-0.832267,0.554374
5.32,-0.821014,0.570908
5.34,-0.809433,0.587213
5.36,-0.797527,0.603283
5.38,-0.785303,0.619112
5.4,-0.772764,0.634693
5.42,-0.759917,0.65002
5.44,-0.746765,0.665088
5.46,-0.733315,0.679889
5.48,-0.719572,0.694418
5.5,-0.70554,0.70867
5.52,-0.691227,0.722638
5.54,-0.676637,0.736317
5.56,-0.661776,0.749702
5.58,-0.646651,0.762786
5.6,-0.631267,0.775566
